band_id,band_name,min_salary,max_salary,notes
B1,Band B1,4000,5000,"Junior marketing, communications, support roles; entry-level grads and interns converting to full-time"
B2,Band B2,4800,6500,"Junior coordinators, HR support, business support executives; 1-2 years experience"
B3,Band B3,6200,8200,"Intermediate marketing, business operations, project coordinators"
B4,Band B4,7800,10000,"Specialists with 3-5 years experience; marketing strategy, comms, content strategy"
B5,Band B5,9500,12500,"Senior marketing/communications strategists and team contributors"
M1,Band M1,6000,7200,"Entry-mid data/ops/strategy analysts; early-career technical talent with foundational analytics skills"
M2,Band M2,7000,9000,"Mid-level analysts, business intelligence, operations strategy roles; requires tool proficiency"
M3,Band M3,8800,12000,"Experienced analysts, data specialists, workflow designers"
M4,Band M4,11500,15000,"Advanced specialists; cross-functional strategic roles"
M5,Band M5,14500,19000,"Technical leads, principal analysts, senior strategic planners"
S1,Band S1,15000,21000,"Junior managers; first-time people leaders"
S2,Band S2,20000,26000,"Managers and senior managers"
S3,Band S3,25000,33000,"Directors; large team leadership"
S4,Band S4,32000,45000,"Executive leadership roles; VP+"
